Fecha,prov_residencia_persona_en_situacion_violencia,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,pais_nacimiento_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,modalidad_de_violencia_institucional,modalidad_de_violencia_laboral,modalidad_violencia_contra_libertad_reproductiva,modalidad_de_violencia_obstetrica,modalidad_de_violencia_mediatica,modalidad_de_violencia_otras,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
2023-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,19,Argentina,Si,Si,Si,No,No,No,No,No,No,No,No,No,Otro,Varon
2023-01-01,Buenos Aires,Mujer,46,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Entre Ríos,Mujer,28,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Mendoza,Mujer,34,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,38,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,57,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Tucumán,Mujer,,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Santa Fe,Mujer,39,Argentina,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Mendoza,Mujer,24,Argentina,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Misiones,Mujer,22,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Santa Fe,Mujer,52,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Santa Fe,Mujer,65,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,26,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Santa Fe,Mujer,41,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,San Luis,Mujer,44,Argentina,No,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Córdoba,Mujer,44,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro,Varon
2023-01-01,Córdoba,Mujer,40,Argentina,No,Si,No,No,No,No,No,No,No,No,No,No,Otro,Varon
2023-01-01,Santa Fe,Mujer,34,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Tucumán,Mujer,27,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,24,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,42,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Misiones,Mujer,25,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Jujuy,Mujer,49,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,15,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Santa Fe,Mujer,23,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,49,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Santa Fe,Mujer,38,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Córdoba,Mujer,26,Argentina,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Córdoba,Mujer,20,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Córdoba,Mujer,5,,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Padre o tutor,Varon
2023-01-01,Río Negro,Mujer,22,,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,29,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,38,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Tucumán,Mujer,38,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Mendoza,Mujer,25,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,San Juan,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,19,Colombiana,No,Si,No,No,No,No,No,Si,No,No,No,No,Superior jerárquico,Varon
2023-01-01,Salta,Mujer,20,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Mendoza,Mujer,44,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,45,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Santiago Del Estero,Mujer,18,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Padre o tutor,Varon
2023-01-01,Buenos Aires,Mujer,49,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,,Varon
2023-01-01,Ciudad Autónoma de Buenos Aires,Mujer,,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Ciudad Autónoma de Buenos Aires,Mujer,27,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,,,No,Si,Si,Si,No,No,No,No,No,No,No,No,,Varon
2023-01-01,Buenos Aires,Mujer,,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,,,No,Si,Si,No,Si,No,No,No,No,No,No,No,Otro,Varon
2023-01-01,Buenos Aires,Mujer,33,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,36,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,41,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,20,,No,No,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,28,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,33,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,33,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-01,Buenos Aires,Mujer,34,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,20,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-01,Buenos Aires,Mujer,40,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Salta,Mujer,28,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Buenos Aires,Mujer,27,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,26,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Buenos Aires,Mujer,31,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Tucumán,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Santa Fe,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Tucumán,Mujer,,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Chaco,Mujer,37,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,42,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,26,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Buenos Aires,Mujer,,,Si,No,No,No,No,No,No,No,No,No,No,No,Otro,
2023-01-02,Buenos Aires,Mujer,51,,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,29,Paraguaya,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Salta,Mujer,33,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,34,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Santa Fe,Mujer,,,Si,No,No,No,No,No,No,No,No,No,No,No,,
2023-01-02,Río Negro,Mujer,45,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Córdoba,Mujer,30,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Buenos Aires,Mujer,22,Argentina,Si,No,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Ciudad Autónoma de Buenos Aires,Mujer,,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Ciudad Autónoma de Buenos Aires,Mujer,,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Ciudad Autónoma de Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Ciudad Autónoma de Buenos Aires,Mujer,17,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Ciudad Autónoma de Buenos Aires,Mujer,31,Boliviana,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Ciudad Autónoma de Buenos Aires,Mujer,31,,Si,Si,Si,No,No,No,No,Si,No,No,No,No,Otro,Varon
2023-01-02,Ciudad Autónoma de Buenos Aires,Mujer,33,,Si,Si,No,No,No,Si,No,No,No,No,No,No,,
2023-01-02,Ciudad Autónoma de Buenos Aires,Mujer,35,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Ciudad Autónoma de Buenos Aires,Mujer,41,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Ciudad Autónoma de Buenos Aires,Mujer,48,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,22,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Buenos Aires,Mujer,31,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,42,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,37,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,30,Argentina,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,27,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Buenos Aires,Mujer,,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,45,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,44,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Buenos Aires,Mujer,48,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Buenos Aires,Mujer,19,Paraguaya,No,Si,Si,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2023-01-02,Buenos Aires,Mujer,26,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Buenos Aires,Mujer,33,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,28,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,32,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-02,Buenos Aires,Mujer,52,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-02,Buenos Aires,Mujer,43,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,55,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,,,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Salta,Mujer,46,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,39,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Santa Fe,Mujer,34,Argentina,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,23,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,59,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Santa Fe,Transgénero,26,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Padre o tutor,Varon
2023-01-03,Tucumán,Mujer,24,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Río Negro,Mujer,29,Argentina,No,Si,Si,Si,No,No,No,Si,No,No,No,No,,
2023-01-03,Salta,Mujer,32,,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Córdoba,Mujer,38,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Jujuy,Mujer,28,,Si,No,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,26,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Formosa,Mujer,31,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Mendoza,Mujer,52,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2023-01-03,Buenos Aires,Mujer,48,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Santa Fe,Mujer,,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Jujuy,Mujer,30,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Santa Fe,Mujer,17,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,22,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,50,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,,,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,21,,No,Si,No,Si,No,No,No,No,No,No,No,Si,Otro,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,22,,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Varon,31,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,,32,,Si,Si,No,No,No,Si,No,No,No,No,No,No,,
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,32,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,33,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,35,Boliviana,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,36,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,41,Argentina,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,42,,No,Si,Si,No,No,No,No,No,No,No,No,Si,Otro,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,43,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,48,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,48,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,53,,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,54,Peruana,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,72,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Ciudad Autónoma de Buenos Aires,Mujer,,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Padre o tutor,Varon
2023-01-03,Buenos Aires,Mujer,40,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,28,,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,36,,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,49,Argentina,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,23,Boliviana,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,32,Argentina,No,No,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,25,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro familiar,Varon
2023-01-03,Buenos Aires,Mujer,30,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,,,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,56,Argentina,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Padre o tutor,Varon
2023-01-03,Buenos Aires,Mujer,29,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Otro familiar,Varon
2023-01-03,Buenos Aires,Mujer,40,,Si,Si,Si,Si,Si,Si,No,No,Si,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,34,,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,32,Argentina,No,Si,No,Si,Si,Si,No,No,Si,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,44,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,20,Argentina,No,Si,Si,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,37,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,24,Argentina,No,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,33,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,41,Argentina,No,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,38,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,27,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,24,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,24,Paraguaya,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-03,Buenos Aires,Mujer,,,Si,Si,No,No,Si,No,No,No,No,No,No,No,Otro,Varon
2023-01-03,Buenos Aires,Mujer,24,,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-03,Buenos Aires,Mujer,36,Argentina,Si,Si,No,No,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,San Luis,Mujer,,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Tucumán,Mujer,27,Argentina,No,Si,Si,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Entre Ríos,Mujer,43,Argentina,No,No,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Río Negro,Mujer,,,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Santa Fe,Mujer,49,Argentina,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Mendoza,Mujer,34,,No,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Tucumán,Mujer,,Argentina,Si,Si,No,No,No,No,No,No,No,No,No,No,Otro,Varon
2023-01-04,Buenos Aires,Mujer,24,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,,
2023-01-04,Buenos Aires,Mujer,,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Santa Fe,Mujer,35,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Santa Fe,Mujer,26,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Mendoza,Mujer,40,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,San Luis,Mujer,35,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Buenos Aires,Mujer,40,Argentina,Si,Si,Si,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Buenos Aires,Mujer,25,,No,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Buenos Aires,Mujer,22,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Chaco,Mujer,,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Santa Fe,Mujer,,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Buenos Aires,Mujer,52,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Tucumán,Mujer,,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Santa Fe,Mujer,35,Argentina,No,Si,Si,No,No,No,No,Si,No,No,No,No,Superior jerárquico,Varon
2023-01-04,Buenos Aires,Mujer,,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,
2023-01-04,Misiones,Mujer,21,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Otro,Varon
2023-01-04,Buenos Aires,Mujer,12,Argentina,No,Si,Si,No,No,Si,No,No,No,No,No,No,Padre o tutor,Varon
2023-01-04,Buenos Aires,Mujer,,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Sin datos,,,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,
2023-01-04,Buenos Aires,Mujer,,,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Ciudad Autónoma de Buenos Aires,Mujer,,Argentina,Si,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Ciudad Autónoma de Buenos Aires,Mujer,15,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Ciudad Autónoma de Buenos Aires,Mujer,35,,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Ciudad Autónoma de Buenos Aires,Mujer,37,Boliviana,Si,Si,No,Si,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Ciudad Autónoma de Buenos Aires,,46,,Si,Si,Si,Si,No,Si,No,No,No,No,No,No,Pareja,
2023-01-04,Ciudad Autónoma de Buenos Aires,Mujer,48,,Si,Si,No,No,No,Si,No,No,No,No,No,No,Pareja,Varon
2023-01-04,Buenos Aires,Mujer,48,Argentina,No,Si,No,No,No,Si,No,No,No,No,No,No,Ex pareja,Varon
2023-01-04,Ciudad Autónoma de Buenos Aires,Mujer,52,Argentina,No,Si,No,No,Si,No,Si,No,No,No,No,No,Otro,Varon
